Product_ID,Product_Title,Merchant_ID,Cluster_ID,Cluster_Label,Category_ID,class
1,apple_iphone_8_plus_64gb_silver,1,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
2,apple_iphone_8_plus_64_gb_spacegrau,2,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
3,apple_mq8n2b/a_iphone_8_plus_64gb_5.5_12mp_sim_free_smartphone_in_gold,3,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
4,apple_iphone_8_plus_64gb_space_grey,4,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
5,apple_iphone_8_plus_gold_5.5_64gb_4g_unlocked_sim_free,5,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
6,apple_iphone_8_plus_gold_5.5_64gb_4g_unlocked_sim_free,6,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
7,apple_iphone_8_plus_64_gb_space_grey,7,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
8,apple_iphone_8_plus_64gb_space_grey,8,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
9,apple_iphone_8_plus_64gb_space_grey,9,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
10,apple_iphone_8_plus_64gb_space_grey,10,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
11,apple_iphone_8_plus_5.5_single_sim_4g_64gb_silver,11,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
12,sim_free_iphone_8_plus_64gb_by_apple_space_grey,12,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
13,apple_iphone_8_plus_64gb_gold_smartphone,13,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
14,apple_iphone_8_plus_5.5_single_sim_4g_64gb_grey,14,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
15,apple_iphone_8_plus_silver_5.5_64gb_4g_unlocked_sim_free,15,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
16,apple_iphone_8_plus_64_gb_silver,16,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
17,apple_iphone_8_plus_64gb_silver_unlocked,17,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
18,apple_iphone_8_plus_14_cm_5.5_64_gb_12_mp_ios_11_silver,18,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
19,iphone_8_plus_sim_free_water_dust_resistant_64gb_silver_by_apple,19,1,Apple_iPhone_8_Plus_64GB,2612,Mobile_Phones
